Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"ishun Street 71 (Blk 719), Singapore",1,07-05-18,"1.4268389, 103.8290981",Yishun ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 122), Singapore",1,11-05-18,"1.3320522, 103.9106380",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 124), Singapore",1,11-05-18,"1.3327139, 103.9100942",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 128), Singapore",1,11-05-18,"1.3334379, 103.9114536",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 130), Singapore",1,11-05-18,"1.3335058, 103.9123599",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 131), Singapore",2,11-05-18,"1.3331446, 103.9115443",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 132), Singapore",1,11-05-18,"1.3329230, 103.9119068",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 135), Singapore",2,11-05-18,"1.3331404, 103.9122693",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",10,11-05-18,"1.3335538, 103.9135607",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 137), Singapore",2,11-05-18,"1.3337227, 103.9128130",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 138), Singapore",2,11-05-18,"1.3345261, 103.9130849",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 139), Singapore",10,11-05-18,"1.3345066, 103.9137344",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 140), Singapore",1,11-05-18,"1.3348915, 103.9131756",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 142), Singapore",4,11-05-18,"1.3357141, 103.9132888",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 144), Singapore",3,11-05-18,"1.3351152, 103.9124505",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 145), Singapore",1,11-05-18,"1.3343129, 103.9119974",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 148), Singapore",1,11-05-18,"1.3353932, 103.9118388",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 150), Singapore",2,11-05-18,"1.3360666, 103.9124505",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 608), Singapore",1,11-05-18,"1.3318917, 103.9130849",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 609), Singapore",1,11-05-18,"1.3318329, 103.9131117",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road Blk 613B), Singapore",1,11-05-18,"1.3331070, 103.9180696",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 622), Singapore",1,11-05-18,"1.3340662, 103.9167101",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 623), Singapore",1,11-05-18,"1.3336266, 103.9168007",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 628), Singapore",1,11-05-18,"1.3349542, 103.9149881",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 629), Singapore",1,11-05-18,"1.3345915, 103.9144444",Chai Chee ,0,0,0,0,—,—,—,—,—
"Eastwood Green, Singapore",4,11-05-18,"1.3222849, 103.9548450",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Place, Singapore",1,11-05-18,"1.3221148, 103.9562737",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Road, Singapore",1,11-05-18,"1.3213954, 103.9560475",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Terrace, Singapore",2,11-05-18,"1.3218063, 103.9569024",Simei ,0,0,0,0,—,—,—,—,—
"stwood Way, Singapore",3,11-05-18,"1.3229592, 103.9573462",Simei ,0,0,0,0,—,—,—,—,—
"alan Greja, Singapore",3,11-05-18,"1.3237034, 103.9550755",Simei ,0,0,0,0,—,—,—,—,—
"esari Walk, Singapore",1,11-05-18,"1.3245905, 103.9542040",Simei ,0,0,0,0,—,—,—,—,—
"man Bedok, Singapore",1,11-05-18,"1.3268211, 103.9505618",Simei ,0,0,0,0,—,—,—,—,—
"Pandan Gardens (Blk 404), Singapore",1,11-05-18,"1.3198704, 103.7492367",Jurong (North) ,21.8,19.2,21,21,—,—,—,—,—
"Pandan Gardens (Blk 405), Singapore",1,11-05-18,"1.3192822, 103.7496893",Clementi ,0,0,0,0,29.3,34,27.2,3.2,17.3
"Pandan Gardens (Blk 411), Singapore",6,11-05-18,"1.3189330, 103.7467021",Jurong (North) ,21.8,19.2,21,21,—,—,—,—,—
"Pandan Gardens (Blk 412), Singapore",1,11-05-18,"1.3196630, 103.7470642",Jurong (North) ,21.8,19.2,21,21,—,—,—,—,—
"Pandan Gardens (Blk 414), Singapore",9,11-05-18,"1.3201012, 103.7472453",Jurong (North) ,21.8,19.2,21,21,—,—,—,—,—
"aki Bukit Industrial Terrace, Singapore",14,11-05-18,"1.3357532, 103.9021851",Chai Chee ,0,0,0,0,—,—,—,—,—
"aki Bukit Place, Singapore",1,11-05-18,"1.3352173, 103.9036946",Chai Chee ,0,0,0,0,—,—,—,—,—
"angsa Road (Blk 153), Singapore",3,11-05-18,"1.3750816, 103.7653500",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"angsa Road (Blk 154), Singapore",2,11-05-18,"1.3748817, 103.7650558",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"azel Park Terrace Hazel Park ndominium), Singapore",3,11-05-18,"1.3717218, 103.7642820",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Hougang Avenue 5 (Blk 308), Singapore",2,11-05-18,"1.3669122, 103.8959572",Buangkok ,4.6,4.4,4.6,4.6,—,—,—,—,—
"Hougang Avenue 5 (Blk 310), Singapore",3,11-05-18,"1.3663252, 103.8961384",Buangkok ,4.6,4.4,4.6,4.6,—,—,—,—,—
"Hougang Avenue 5 (Blk 319), Singapore",1,11-05-18,"1.3657345, 103.8969540",Buangkok ,4.6,4.4,4.6,4.6,—,—,—,—,—
"Hougang Avenue 5 (Blk 320), Singapore",1,11-05-18,"1.3663790, 103.8981550",Buangkok ,4.6,4.4,4.6,4.6,—,—,—,—,—
"Hougang Avenue 5 (Blk 324), Singapore",1,11-05-18,"1.3675124, 103.8974855",Buangkok ,4.6,4.4,4.6,4.6,—,—,—,—,—
"alan Damai (Blk 664), Singapore",1,11-05-18,"1.3342575, 103.9089161",Chai Chee ,0,0,0,0,—,—,—,—,—
"alan Damai (Blk 667), Singapore",1,11-05-18,"1.3338199, 103.9086442",Chai Chee ,0,0,0,0,—,—,—,—,—
"lan Tenaga (Blk 651), Singapore",1,11-05-18,"1.3344144, 103.9066070",Chai Chee ,0,0,0,0,—,—,—,—,—
"lan Tenaga (Blk 652), Singapore",1,11-05-18,"1.3326533, 103.9079192",Chai Chee ,0,0,0,0,—,—,—,—,—
"lan Tenaga (Blk 654), Singapore",2,11-05-18,"1.4228060, 103.8407060",Yishun ,0,0,0,0,—,—,—,—,—
"lan Tenaga (Blk 658), Singapore",1,11-05-18,"1.3336872, 103.9062880",Chai Chee ,0,0,0,0,—,—,—,—,—
"Senoko Crescent, Singapore",1,11-05-18,"1.4625659, 103.8063107",Admiralty ,3,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8
"noko Drive, Singapore",2,11-05-18,"1.4627171, 103.8032723",Admiralty ,3,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8
"noko Road, Singapore",5,11-05-18,"1.4636605, 103.8029023",Admiralty ,3,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8
"ng Mo Kio enue 9 (Blk 621), Singapore",2,11-05-18,"1.3830649, 103.8406919",Ang Mo Kio ,5.6,4.4,4.6,4.6,29.2,33.2,26.8,5.8,30.6
"ng Mo Kio enue 9 (Blk 627), Singapore",1,11-05-18,"1.3818885, 103.8413260",Ang Mo Kio ,5.6,4.4,4.6,4.6,29.2,33.2,26.8,5.8,30.6
"dok Avenue, Singapore",1,11-05-18,"1.2837366, 103.8591923",Marina Barrage ,2.4,2.4,2.4,2.4,30.3,34.5,26.9,5.4,22.3
"edok Road, Singapore",1,11-05-18,"1.3264714, 103.9512968",Simei ,0,0,0,0,—,—,—,—,—
"edok Road ountry Park ndominium), Singapore",1,11-05-18,"1.3213921, 103.9547724",Simei ,0,0,0,0,—,—,—,—,—
"dok Garden, Singapore",2,11-05-18,"1.3212080, 103.9274140",Chai Chee ,0,0,0,0,—,—,—,—,—
"imau Grove, Singapore",1,11-05-18,"1.3226872, 103.9514753",Simei ,0,0,0,0,—,—,—,—,—
"lan Telang, Singapore",3,11-05-18,"1.3768048, 103.8288719",Upper Thomson ,5.6,4.4,5.6,5.6,—,—,—,—,—
"ergui Road (Mergui ansions), Singapore",2,11-05-18,"1.3173131, 103.8517873",Whampoa ,1.2,1.2,1.2,1.2,—,—,—,—,—
"ergui Road (Pristine Heights), Singapore",1,11-05-18,"1.3170939, 103.8519834",Whampoa ,1.2,1.2,1.2,1.2,—,—,—,—,—
"oodlands Street 82 (Blk 848), Singapore",2,11-05-18,"1.4418184, 103.7919684",Admiralty ,3,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8
"oodlands Street 82 (Blk 849), Singapore",1,11-05-18,"1.4413040, 103.7920590",Admiralty ,3,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8
"Choa Chu ang Avenue 2 (Blk 274), Singapore",1,11-05-18,"1.3793780, 103.7428220",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Choa Chu ang Avenue 3 (Blk 281), Singapore",1,11-05-18,"1.3810032, 103.7431720",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Ipoh Lane Versilia on Haig), Singapore",1,11-05-18,"1.3111067, 103.8971308",Marine Parade ,0,0,0,0,—,—,—,—,—
"Lengkong Empat, Singapore",1,11-05-18,"1.3281155, 103.9127553",Chai Chee ,0,0,0,0,—,—,—,—,—
"Lengkong Tujoh Vacanza @ East), Singapore",1,11-05-18,"1.3291534, 103.9146479",Chai Chee ,0,0,0,0,—,—,—,—,—
"Lorong Marzuki, Singapore",2,11-05-18,"1.3224195, 103.9089218",Chai Chee ,0,0,0,0,—,—,—,—,—
"ishun Street 11 (Blk 123), Singapore",1,11-05-18,"1.4347108, 103.8318685",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 11 (Blk 132), Singapore",1,11-05-18,"1.4328560, 103.8312980",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 71 (Blk 714), Singapore",1,11-05-18,"1.4271337, 103.8278692",Yishun ,0,0,0,0,—,—,—,—,—
"ishun Street 71 (Blk 719), Singapore",1,11-05-18,"1.4268389, 103.8290981",Yishun ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View, Singapore",7,14-05-18,"1.3748146, 103.9030599",Buangkok ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Upper Serangoon View (Boat house Residences), Singapore",2,14-05-18,"1.3757060, 103.9029789",Buangkok ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Upper Serangoon View (Hero n Bay), Singapore",4,14-05-18,"1.3763120, 103.9032169",Buangkok ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Tampines Street 42 (Blk 446), Singapore",1,14-05-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 434), Singapore",4,14-05-18,"1.3592614, 103.9516074",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 436), Singapore",2,14-05-18,"1.3596274, 103.9516074",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 438), Singapore",1,14-05-18,"1.3604189, 103.9515101",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 249), Singapore",1,14-05-18,"1.3795959, 103.7456159",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 276), Singapore",2,14-05-18,"1.3796044, 103.7441677",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Hong San Terrace, Singapore",1,14-05-18,"1.3776912, 103.7458350",Choa Chu Kang (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Drive 4 (Blk 461 ), Singapore",1,14-05-18,"1.3711546, 103.9586786",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Drive 4 (The Esparis), Singapore",2,14-05-18,"1.3693847, 103.9596946",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Drive 6 (Blk 454 ), Singapore",1,14-05-18,"1.3720372, 103.9580440",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Anchorvale Lane (Blk 3 11B), Singapore",1,14-05-18,"1.3918370, 103.8843900",Buangkok ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Anchorvale Road (Blk 3 09D), Singapore",1,14-05-18,"1.3907626, 103.8857982",Buangkok ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Pasir Ris Street 51 (Blk 564), Singapore",1,14-05-18,"1.3683693, 103.9498624",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 565), Singapore",1,14-05-18,"1.3689528, 103.9502703",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View, Singapore",46,18-05-18,"1.3748146, 103.9030599",Buangkok ,50.2,31.8,40,42.4,—,—,—,—,—
"Upper Serangoon View (Boat house Residences), Singapore",3,18-05-18,"1.3757060, 103.9029789",Buangkok ,50.2,31.8,40,42.4,—,—,—,—,—
"Upper Serangoon View (Hero n Bay), Singapore",4,18-05-18,"1.3763120, 103.9032169",Buangkok ,50.2,31.8,40,42.4,—,—,—,—,—
"Tampines Street 42 (Blk 446), Singapore",1,18-05-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Tampines Street 43 (Blk 434), Singapore",4,18-05-18,"1.3592614, 103.9516074",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Tampines Street 43 (Blk 436), Singapore",3,18-05-18,"1.3596274, 103.9516074",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Tampines Street 43 (Blk 438), Singapore",1,18-05-18,"1.3604189, 103.9515101",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 249), Singapore",1,18-05-18,"1.3795959, 103.7456159",Choa Chu Kang (Central) ,81.2,42.2,69.4,81,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 250), Singapore",1,18-05-18,"1.3793643, 103.7453885",Choa Chu Kang (Central) ,81.2,42.2,69.4,81,—,—,—,—,—
"Choa Chu Kang Avenue 2 (Blk 276), Singapore",3,18-05-18,"1.3796044, 103.7441677",Choa Chu Kang (Central) ,81.2,42.2,69.4,81,—,—,—,—,—
"Hong San Terrace, Singapore",1,18-05-18,"1.3776912, 103.7458350",Choa Chu Kang (Central) ,81.2,42.2,69.4,81,—,—,—,—,—
"Pasir Ris Drive 4 (Blk 461 ), Singapore",1,18-05-18,"1.3711546, 103.9586786",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Pasir Ris Drive 4 (The Esparis), Singapore",2,18-05-18,"1.3693847, 103.9596946",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Pasir Ris Drive 6 (Blk 454 ), Singapore",1,18-05-18,"1.3720372, 103.9580440",Pasir Ris (Central) ,8.2,7.4,7.8,8,—,—,—,—,—
"Cassia Crescent (Blk 28), Singapore",1,18-05-18,"1.3090145, 103.8836338",Marine Parade ,13,8.4,11,11.2,—,—,—,—,—
"Pine Close (Blk 3), Singapore",2,18-05-18,"1.3071126, 103.8832660",Marine Parade ,13,8.4,11,11.2,—,—,—,—,—
"Holland Close (Blk 1), Singapore",1,18-05-18,"1.3091370, 103.7968581",Buona Vista ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Holland Close (Blk 3A ), Singapore",2,18-05-18,"1.3087711, 103.7968581",Buona Vista ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Happy Avenue East, Singapore",1,18-05-18,"1.3302147, 103.8814575",Toa Payoh ,0.6,0.4,0.4,0.4,—,—,—,—,—
"Jalan Anggerek, Singapore",1,18-05-18,"1.3295279, 103.8818569",Toa Payoh ,0.6,0.4,0.4,0.4,—,—,—,—,—
"Upper Serangoon View, Singapore",57,21-05-18,"1.3748146, 103.9030599",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View (Boat house Residences), Singapore",6,21-05-18,"1.3757060, 103.9029789",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View (Hero n Bay), Singapore",5,21-05-18,"1.3763120, 103.9032169",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View (Rio V ista), Singapore",3,21-05-18,"1.3732500, 103.9015266",Buangkok ,0,0,0,0,—,—,—,—,—
"Tampines Street 42 (Blk 444), Singapore",1,21-05-18,"1.3583112, 103.9513355",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 42 (Blk 446), Singapore",1,21-05-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 43 (Blk 434), Singapore",4,21-05-18,"1.3592614, 103.9516074",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 43 (Blk 436), Singapore",3,21-05-18,"1.3596274, 103.9516074",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 43 (Blk 437), Singapore",1,21-05-18,"1.3599935, 103.9516074",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 43 (Blk 438), Singapore",1,21-05-18,"1.3604189, 103.9515101",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 43 (Blk 474), Singapore",1,21-05-18,"1.3598407, 103.9527077",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Tampines Street 44 (Blk 465), Singapore",1,21-05-18,"1.3596093, 103.9546897",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Cassia Crescent (Blk 28), Singapore",1,21-05-18,"1.3090145, 103.8836338",Marine Parade ,0,0,0,0,—,—,—,—,—
"Pine Close (Blk 3), Singapore",2,21-05-18,"1.3071126, 103.8832660",Marine Parade ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 559), Singapore",1,21-05-18,"1.3664363, 103.9516981",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Pasir Ris Street 51 (Blk 560), Singapore",1,21-05-18,"1.3667367, 103.9504289",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Pasir Ris Street 51 (Blk 564), Singapore",1,21-05-18,"1.3683693, 103.9498624",Pasir Ris (Central) ,2.8,2.4,2.8,2.8,—,—,—,—,—
"Boon Keng Road (Blk 5 ), Singapore",1,21-05-18,"1.3167550, 103.8604412",Whampoa ,0,0,0,0,—,—,—,—,—
"Boon Keng Road (Blk 5 ), Singapore",1,21-05-18,"1.3167550, 103.8604412",Whampoa ,0,0,0,0,—,—,—,—,—
"Geylang East Avenue 1 (Blk 131), Singapore",2,21-05-18,"1.3167757, 103.8868349",Marine Parade ,0,0,0,0,—,—,—,—,—
"Hougang Avenue 7 (The Florida), Singapore",1,25-05-18,"1.3738889, 103.9005556",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View, Singapore",58,25-05-18,"1.3748146, 103.9030599",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View (Boat house Residences), Singapore",7,25-05-18,"1.3757060, 103.9029789",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View (Hero n Bay), Singapore",5,25-05-18,"1.3763120, 103.9032169",Buangkok ,0,0,0,0,—,—,—,—,—
"Upper Serangoon View (Rio V ista), Singapore",3,25-05-18,"1.3732500, 103.9015266",Buangkok ,0,0,0,0,—,—,—,—,—
"Tampines Street 42 (Blk 444), Singapore",1,25-05-18,"1.3583112, 103.9513355",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 42 (Blk 446), Singapore",1,25-05-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 434), Singapore",4,25-05-18,"1.3592614, 103.9516074",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 436), Singapore",3,25-05-18,"1.3596274, 103.9516074",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 437), Singapore",2,25-05-18,"1.3599935, 103.9516074",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 438), Singapore",1,25-05-18,"1.3604189, 103.9515101",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 43 (Blk 474), Singapore",1,25-05-18,"1.3598407, 103.9527077",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 44 (Blk 465), Singapore",1,25-05-18,"1.3596093, 103.9546897",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Cassia Crescent (Blk 28), Singapore",1,25-05-18,"1.3090145, 103.8836338",Marine Parade ,0,0,0,0,—,—,—,—,—
"Pine Close (Blk 3), Singapore",2,25-05-18,"1.3071126, 103.8832660",Marine Parade ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 559), Singapore",1,25-05-18,"1.3664363, 103.9516981",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 560), Singapore",1,25-05-18,"1.3667367, 103.9504289",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 564), Singapore",1,25-05-18,"1.3683693, 103.9498624",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Geylang East Avenue 1 (Blk 131), Singapore",2,25-05-18,"1.3167757, 103.8868349",Marine Parade ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 143), Singapore",1,25-05-18,"1.3480349, 103.9436301",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 144), Singapore",1,25-05-18,"1.3484372, 103.9436755",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 45 (Blk 491F ), Singapore",1,25-05-18,"1.3630493, 103.9548710",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Tampines Street 45 (Blk 491G ), Singapore",1,25-05-18,"1.3634132, 103.9544145",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Hougang Avenue 7 (The Florida), Singapore",2,28-05-18,"1.3738889, 103.9005556",Buangkok ,12.6,7.4,10,11.6,—,—,—,—,—
"Upper Serangoon View, Singapore",59,28-05-18,"1.3748146, 103.9030599",Buangkok ,12.6,7.4,10,11.6,—,—,—,—,—
"Upper Serangoon View (Boat house Residences), Singapore",7,28-05-18,"1.3757060, 103.9029789",Buangkok ,12.6,7.4,10,11.6,—,—,—,—,—
"Upper Serangoon View (Hero n Bay), Singapore",5,28-05-18,"1.3763120, 103.9032169",Buangkok ,12.6,7.4,10,11.6,—,—,—,—,—
"Upper Serangoon View (Rio V ista), Singapore",7,28-05-18,"1.3732500, 103.9015266",Buangkok ,12.6,7.4,10,11.6,—,—,—,—,—
"Pasir Ris Street 51 (Blk 559), Singapore",1,28-05-18,"1.3664363, 103.9516981",Pasir Ris (Central) ,23.4,14.2,18.2,22,—,—,—,—,—
"Pasir Ris Street 51 (Blk 560), Singapore",1,28-05-18,"1.3667367, 103.9504289",Pasir Ris (Central) ,23.4,14.2,18.2,22,—,—,—,—,—
"Pasir Ris Street 51 (Blk 564), Singapore",1,28-05-18,"1.3683693, 103.9498624",Pasir Ris (Central) ,23.4,14.2,18.2,22,—,—,—,—,—
"Whampoa Drive (Blk 9 8), Singapore",2,28-05-18,"1.3225986, 103.8530548",Whampoa ,2.6,1.2,1.4,1.6,—,—,—,—,—
"Whampoa Drive (Blk 1 00), Singapore",1,28-05-18,"1.3226058, 103.8528922",Whampoa ,2.6,1.2,1.4,1.6,—,—,—,—,—
"Geylang East Avenue 1 (Blk 131), Singapore",2,28-05-18,"1.3167757, 103.8868349",Marine Parade ,1,0.4,0.4,0.4,—,—,—,—,—
"Tampines Street 12 (Blk 143), Singapore",1,28-05-18,"1.3480349, 103.9436301",Simei ,19.2,12.2,17.4,18.4,—,—,—,—,—
"Tampines Street 12 (Blk 144), Singapore",1,28-05-18,"1.3484372, 103.9436755",Simei ,19.2,12.2,17.4,18.4,—,—,—,—,—
"Tampines Street 45 (Blk 491F ), Singapore",1,28-05-18,"1.3630493, 103.9548710",Pasir Ris (Central) ,23.4,14.2,18.2,22,—,—,—,—,—
"Tampines Street 45 (Blk 491G ), Singapore",1,28-05-18,"1.3634132, 103.9544145",Pasir Ris (Central) ,23.4,14.2,18.2,22,—,—,—,—,—
"Hougang Avenue 7 (Rio Casa ), Singapore",2,01-06-18,"1.3716828, 103.9005335",Buangkok ,25.2,7.4,10.2,18.6,—,—,—,—,—
"Hougang Avenue 7 (The Florida), Singapore",4,01-06-18,"1.3738889, 103.9005556",Buangkok ,25.2,7.4,10.2,18.6,—,—,—,—,—
"Upper Serangoon View, Singapore",60,01-06-18,"1.3748146, 103.9030599",Buangkok ,25.2,7.4,10.2,18.6,—,—,—,—,—
"Upper Serangoon View (Boat house Residences), Singapore",9,01-06-18,"1.3757060, 103.9029789",Buangkok ,25.2,7.4,10.2,18.6,—,—,—,—,—
"Upper Serangoon View (Hero n Bay), Singapore",8,01-06-18,"1.3763120, 103.9032169",Buangkok ,25.2,7.4,10.2,18.6,—,—,—,—,—
"Upper Serangoon View (Rio V ista), Singapore",8,01-06-18,"1.3732500, 103.9015266",Buangkok ,25.2,7.4,10.2,18.6,—,—,—,—,—
"Whampoa Drive (Blk 9 8), Singapore",2,01-06-18,"1.3225986, 103.8530548",Whampoa ,49.4,19.2,31.6,39.8,—,—,—,—,—
"Whampoa Drive (Blk 1 00), Singapore",1,01-06-18,"1.3226058, 103.8528922",Whampoa ,49.4,19.2,31.6,39.8,—,—,—,—,—
"Whampoa Drive (Blk 1 01), Singapore",2,01-06-18,"1.3226058, 103.8528922",Whampoa ,49.4,19.2,31.6,39.8,—,—,—,—,—
"Pasir Ris Street 51 (Blk 559), Singapore",1,01-06-18,"1.3664363, 103.9516981",Pasir Ris (Central) ,28.2,7.8,13.2,19.4,—,—,—,—,—
"Pasir Ris Street 51 (Blk 560), Singapore",2,01-06-18,"1.3667367, 103.9504289",Pasir Ris (Central) ,28.2,7.8,13.2,19.4,—,—,—,—,—
