Cantonment Close (Blk 18),"1.2738709, 103.8394238"
Chu Kang enue 3 lk 406),"1.3804327, 103.7404566"
Jalan Senyum,"1.3222960, 103.9144186"
a Crescent lk 56),The address probably not exists
Leicester Road (Parc Aston),"1.3300471, 103.8675603"
8 Toa Payoh lk 233),"1.3382109, 103.8584432"
Koon Seng Road,"1.3115593, 103.9042873"
Upper Serangoon Road (Blk 465),"1.3720352, 103.8966821"
Alnwick Road,"1.3647020, 103.8682376"
Tampines Stret 21 (Blk 237),"1.3555538, 103.9471655"
is Drive 6 lk 473),"1.3745315, 103.9573188"
Yishun Avenue 4 (Blk 864),"1.4165784, 103.8395144"
Pasir Ris Grove (D'Nest),"1.3703790, 103.9465634"
Ubi Avenue 1 (Blk 316),"1.3290262, 103.9023912"
pper Aljunied Lane (Blk 4),"1.3334723, 103.8790165"
Buangkok Green (Blk 987A),"1.3799829, 103.8783786"
Fernvale Road (Blk 410C),"1.3900337, 103.8764759"
Chai Chee Avenue (Blk 40),"1.3261076, 103.9264986"
Tampines Street 23 (Blk 212),"1.3544148, 103.9541458"
lang East enue 1 lk 132),"1.3164670, 103.8859410"
Jalan Rahmat,"1.3213771, 103.9082299"
Bedok South Road (Blk 18),"1.3205036, 103.9347465"
Everitt Road,"1.3123225, 103.9029585"
Frankel Street,"1.3165158, 103.9179586"
Casuarina Road,"1.3750080, 103.8280592"
Jalan Chempedak,"1.3710533, 103.8294232"
Miltonia Close,"1.4178261, 103.8477547"
Akyab Road (Pavilion 11),"1.3241036, 103.8487218"
hoa Chu Kang Avenue 4 (Blk 425),"1.3811902, 103.7394383"
Hougang Avenue 8 (Blk 632),"1.3708097, 103.8809111"
Strathmore Avenue (Blk 82),"1.2947137, 103.8087887"
Bedok eservoir Road (Blk 141),"1.3355470, 103.9137193"
Hougang Avenue 8 (Blk 645),"1.3718329, 103.8813686"
Ang Mo Kio Avenue 5 (Blk 520),"1.3733850, 103.8512240"
Mountbatten Road,"1.3006207, 103.8884185"
Hougang Avenue 1 (Blk 102),"1.3548591, 103.8907921"
Simei Rise (Savannah Condopark),"1.3491023, 103.9619710"
Lorong K Telok Kurau,"1.3130423, 103.9116196"
Geylang East Avenue 1 (Blk 127),"1.3180641, 103.8877159"
Taman Permata,"1.3512836, 103.8339997"
Woodlands Street 82 (Blk 839),"1.4426220, 103.7917604"
ds Avenue 6 lk 720),"1.4329801, 103.8453527"
Choa Chu ang Avenue 1 (Blk 203),"1.3815524, 103.7495082"
Lorong Salleh,"1.3236672, 103.9068660"
Choa Chu Kang Avenue 3 (Blk 469),"1.3779397, 103.7374018"
Choa Chu ang Avenue 4 (Blk 417),"1.3830773, 103.7414722"
Defu Lane 7,"1.3558893, 103.8972592"
unos Crescent (Blk 18),"1.3238223, 103.9044705"
Lorong 5 Toa Payoh (Blk 68),"1.3347250, 103.8531020"
Jurong West Avenue 5 (Blk 721),"1.3441178, 103.6975623"
ssvale Walk k 228B),"-23.2172028, -45.8881327"
Woodlands Drive 60 (Blk 769),"1.4469886, 103.7987597"
8 Toa Payoh lk 226),"1.3394638, 103.8569953"
ougang Street 51 (Blk 557),"1.3799539, 103.8904290"
Flora Drive (Carissa Park Condominium),"1.3591491, 103.9635646"
Serangoon Avenue 4 (Blk 222),"1.3585568, 103.8714062"
hoa Chu Kang Street 52 (Blk 540),"1.3928786, 103.7437151"
hee Lane,"1.3316698, 103.8711799"
is Street 41 lk 466),"1.3499814, 103.7226300"
Jurong West Street 71 (Blk 712),"1.3422307, 103.6964519"
Serangoon North Avenue 4 (Blk 506A),"1.3731853, 103.8756605"
Reservoir Road lk 103),"1.3287662, 103.9094598"
an Walk,"1.3447621, 103.8223506"
Fernvale Road (Blk 27),"1.3959738, 103.8746810"
Ipoh Lane (Imperial Heights),"1.3116198, 103.8950390"
Bedok North Avenue 2 (Blk 515),"1.3320873, 103.9299429"
Chai Chee Street (Blk 44),"1.3289466, 103.9256454"
Bukit Batok Central (Blk 228),"1.3486750, 103.7536330"
Jalan Selamat,"1.3250068, 103.9154903"
g Street 51 lk 575),"1.3799946, 103.8881167"
Kaki Bukit Avenue 2,"1.3365939, 103.9009088"
Woodlands Ring Road (Blk 606),"1.4367042, 103.7970166"
Circuit Road (Blk 36),"1.3290420, 103.8868958"
u Lane 8,The address probably not exists
Bedok North Avenue 4 (Blk 96),"1.3331979, 103.9403668"
Hougang Avenue 6 (Blk 423),"1.3744498, 103.8940769"
Woodlands Drive 70 (Blk 712),"1.4415663, 103.7971298"
Chai Chee Lane,"1.3294496, 103.9177884"
Kembang,"1.3311997, 103.8738755"
ougang Street 10 (Blk 513),"1.3721471, 103.8896899"
Choa Chu Kang Avenue 4 (Blk 424),"1.3814602, 103.7402756"
Pasir Ris Drive 6 (Blk 427),"1.3703105, 103.9559362"
Jalan Limau Purut,"1.3233262, 103.9477789"
Upper Thomson Road (Lakeview),"1.3487043, 103.8348496"
ougang Street 22 (Blk 244),"1.3581474, 103.8919701"
hoa Chu Kang Avenue 3 (Blk 401),"1.3796490, 103.7397099"
Senoko Way,"1.4667594, 103.8123168"
West Coast Road (Blk 704),"1.3063400, 103.7605520"
Ang Mo Kio Avenue 10 (Blk 465),"1.3662627, 103.8569974"
Vernon Park (nearer to Joo Seng Road),"1.3388380, 103.8763884"
dmiralty Link (Blk 405),"1.4533235, 103.8160337"
Ang Mo Kio Avenue 10 (Blk 451),"1.3688347, 103.8556385"
Yishun Avenue 6 (Blk 406),"1.4259081, 103.8492973"
Serangoon Central (Blk 421),"1.3487274, 103.8750262"
ampines Street 34 (Blk 365),"1.3576164, 103.9605598"
Jalan Senang,"1.3251828, 103.9162698"
Woodlands Street 13 (Blk 157),"1.4343637, 103.7747655"
Tampines Street 11 (Blk 110),"1.3469774, 103.9492505"
ds Avenue 6 lk 723),"1.4455229, 103.7989644"
nds Drive 75 k 687B),"1.4417739, 103.8073930"
Bedok Reservoir Road (Blk 631),"1.3334378, 103.9149165"
Ang Mo Kio Avenue 10 (Blk 445),"1.3670033, 103.8556385"
Bishan Street 23 (Blk 228),"1.3581190, 103.8467610"
Woodlands Avenue 5 (Bellewoods),"1.4328796, 103.8006955"
Jalan Batu (Blk 10),"1.3020705, 103.8829090"
Defu Lane 3,"1.3582965, 103.9013425"
Jalan Kembangan,"1.3229561, 103.9135494"
Bedok South Avenue 2 (Blk 10B),"1.3224673, 103.9361971"
Sembawang Drive (Blk 415),"1.4516379, 103.8185015"
Teck Whye Lane (Blk 133),"1.3808091, 103.7512281"
Yishun Ring Road (Blk 114),"1.4343372, 103.8268338"
Hougang Avenue 5 (Blk 305),"1.3670520, 103.8947160"
Pasir Ris Street 11 (Blk 111),"1.3680406, 103.9563590"
Jurong West Street 65 (Blk 667C),"1.3411536, 103.7022655"
Lengkok Tiga (Blk 114),"1.3231895, 103.9122693"
gton Avenue,"1.2837366, 103.8591923"
g Avenue 1 lk 111),"1.3102836, 103.7685092"
Choa Chu ang Avenue 4 (Blk 458),"1.3782589, 103.7361120"
Jalan Taman (Rio Gardens),"1.3267447, 103.8644336"
Geylang Serai (Blk 2A),"1.3170559, 103.8976200"
g Avenue 1 lk 104),"1.3102836, 103.7685092"
Woodlands Drive 42 (Blk 604),"1.4371487, 103.7963374"
Kim Keat Avenue (Blk 256),"1.3320999, 103.8581702"
Boon Lay Drive (Blk 204),"1.3443655, 103.7150948"
Hougang Street 10 (Blk 513),"1.3721471, 103.8896899"
Bedok Reservoir Road (Blk 710),"1.3356353, 103.9237795"
Pasir Ris Drive 6 (Blk 406),"1.3738602, 103.9553886"
Circuit Road (Blk 64),"1.3269920, 103.8870770"
unos Crescent (Blk 15),"1.3238987, 103.9033880"
Woodlands Street 83 (Blk 835),"1.4405021, 103.7911535"
Yunnan Road,"1.3372980, 103.6906573"
arpmael Road,"1.3107036, 103.8999116"
ivervale Drive (Blk 186C),"1.3927780, 103.9051580"
Holland Close (Blk 6),"1.3071143, 103.7954772"
Sophia Road (Mount Sophia Suites),"1.3020109, 103.8492058"
Lorong Pisang Hijau,"1.3442145, 103.7727925"
Bedok eservoir View (Blk 765),"1.3361510, 103.9358346"
MacPherson Road,"1.3312078, 103.8789855"
Chu Kang enue 4 lk 432),"1.3846223, 103.7417917"
Woodlands Avenue 6 (Blk 678),"1.4399252, 103.8013857"
Ang Mo Kio Avenue 8 (Blk 506),"1.3743701, 103.8487538"
Choa Chu Kang Avenue 3 (Blk 408),"1.3804311, 103.7407281"
Bukit Batok Street 23,"1.3405460, 103.7558942"
Ang Mo Kio Avenue 3 (Blk 212),"1.3688441, 103.8415977"
Nathan Road (Nathan Residences),"1.2947218, 103.8271680"
Ubi Avenue 1 (Blk 324),"1.3282302, 103.9040450"
nds Crescent k 787E),"1.4448377, 103.8022913"
Bedok Road (Country Park Condominium),"1.3213921, 103.9547724"
Joo Seng Road (Blk 9),"1.3348667, 103.8793753"
Bedok Garden,"1.3212080, 103.9274140"
Lengkong Tiga (Blk 112),"1.3234906, 103.9112673"
es Street 43 lk 435),"1.3608462, 103.9521615"
Woodlands Street 83 (Blk 865),"1.4411533, 103.7926928"
Ang Mo Kio Central (Grandeur 8),"1.3755613, 103.8470869"
hoa Chu Kang Avenue 3 (Blk 404),"1.3800942, 103.7388047"
Yishun Avenue 5 (Blk 708),"1.4288708, 103.8276458"
Jalan Berseh (Blk 25),"1.3062864, 103.8581069"
Pasir Ris Drive 6 (Blk 451),"1.3715240, 103.9581347"
Teo Kim Road,"1.3281836, 103.9084234"
Bedok Reservoir Road (Blk 110),"1.3301512, 103.9103661"
Pasir Ris Drive 6 (Blk 421),"1.3711051, 103.9546897"
Belimbing Avenue,"1.3325600, 103.8767869"
asir Ris Grove (Livia),"1.3728478, 103.9437630"
Chai Chee Road (Blk 19),"1.3275221, 103.9222387"
Choa Chu Kang Central (Blk 354),"1.3825953, 103.7436020"
ong San Walk Palm Gardens),"1.3781760, 103.7462340"
Terang Bulan Avenue,"1.3217871, 103.9224923"
Jalan Damai (Blk 664),"1.3342575, 103.9089161"
ds Street 82 lk 847),"1.3516141, 103.9365762"
erson Road,The address probably not exists
oon Lay Place (Blk 210),"1.3481680, 103.7130822"
Limau Rise,"1.3240829, 103.9495736"
Lorong 22 Geylang,"1.3115181, 103.8822222"
Woodlands Drive 16 (Blk 587),"1.4286225, 103.7954546"
Senja Road (Blk 636A),"1.3868281, 103.7583620"
Rivervale Walk (Blk 104),"1.3827130, 103.9008480"
Woodlands Circle (Blk 728),"1.4429412, 103.7989657"
Serangoon North Avenue 4 (Blk 534),"1.3742658, 103.8745082"
Woodlands Avenue 5 (Blk 361),"1.4339345, 103.7849059"
Tampines Street 24 (Blk 220),"1.3556899, 103.9520380"
Cashew Road (Cashew Heights),"1.3718515, 103.7677710"
Yunnan Drive 1,"1.3377248, 103.6912061"
Defu Lane 4,"1.3590013, 103.8984494"
Pasir Ris Street 21 (Blk 275),"1.3642906, 103.9647302"
Shunfu Road (Blk 316),"1.3521504, 103.8394267"
Ubi Avenue 1 (Blk 338),"1.3261736, 103.9022099"
Bedok eservoir View (Blk 712),"1.3363398, 103.9354138"
Lengkong Tiga (Blk 103),"1.3259058, 103.9106380"
Jalan Minggu,"1.3540905, 103.8366050"
Upper Changi Road East,"1.3374077, 103.9595225"
Boon Lay Drive (Blk 197A),"1.3442528, 103.7135590"
Loyang Rise,"1.3635660, 103.9652551"
Woodlands Drive 14 (Blk 526),"1.4330054, 103.7927834"
Yishun Street 11 (Blk 128),"1.4339140, 103.8311350"
Tah Ching Road (Blk 337B),"1.3375579, 103.7225118"
Bishan Street 22 (Blk 235),"1.3586332, 103.8464892"
Anchorvale Road (Blk 317A),"1.3939200, 103.8876954"
Hythe Road,"1.3681539, 103.8673828"
Jurong West Central 3 (Blk 698A),"1.3411865, 103.7078788"
Hougang Avenue 10 (Blk 407),"1.3730181, 103.8953367"
unos Crescent (Blk 16),"1.3230877, 103.9044755"
Bedok North Avenue 3 (Blk 402),"1.3305299, 103.9335685"
Tampines Street 33 (Blk 316),"1.3516846, 103.9578627"
Jurong West Street 52 (Blk 530),"1.3485572, 103.7154804"
Circuit Road (Blk 51),"1.3245626, 103.8855595"
Bedok Reservoir Road (Blk 136),"1.3335538, 103.9135607"
Lorong 2 Toa Payoh (Blk 101A),"1.3398094, 103.8473045"
hoa Chu Kang Avenue 2 (Blk 271),"1.3786620, 103.7423574"
Circuit Road (Blk 37),"1.3281280, 103.8867599"
Bedok Reservoir Road (Blk 107),"1.3298653, 103.9091880"
Eng Road,"1.3354247, 103.7682078"
Choa Chu ang Avenue 4 (Blk 414),"1.3821816, 103.7422669"
Bedok eservoir Road (Blk 621),"1.3345774, 103.9168914"
Kaki Bt Avenue 1,"1.3347731, 103.9077134"
Lorong 5 Toa Payoh (Blk 43),"1.3356688, 103.8544609"
Nim Road (Nim Gardens),"1.3810656, 103.8633312"
Tampines Street 11 (Blk 108),"1.3478594, 103.9486159"
Aljunied Road,"1.3223031, 103.8814376"
Woodlands Ring Road (Blk 653),"1.4379596, 103.7987597"
Paya Lebar Road (Paya Lebar Residences),"1.3175146, 103.8915739"
Woodlands Ring Road (Blk 607),"1.4366529, 103.7964053"
hoa Chu Kang Avenue 4 (Blk 439),"1.3837940, 103.7398530"
New Upper Changi Road (Blk 29),"1.3240053, 103.9363732"
Choa Chu Kang Avenue 2 (Blk 297C),"1.3777775, 103.7431720"
rankel Avenue,"1.3165158, 103.9179586"
Kasai Road,"1.3864521, 103.8663883"
Lor Ah Soo (Blk 140),"1.3525618, 103.8837280"
Bishan Street 22 (Blk 233),"1.3585805, 103.8455006"
oo Chiat Place (Parc Bleu),"1.3143461, 103.9074346"
oon Lay Place (Blk 214),"1.3490888, 103.7122226"
edok Reservoir Road (Blk 640),"1.3321761, 103.9049966"
Elias Road (Blk 604),"1.3762998, 103.9432675"
Circuit Road (Blk 82B),"1.3238171, 103.8893324"
Lorong 101 Changi (Park Court),"1.3156030, 103.9000810"
Bishan Street 11 (Blk 146),"1.3437958, 103.8542797"
Rowell Road (Blk 112),"1.3075710, 103.8561520"
Defu Avenue 2,"1.3604122, 103.9010609"
Chai Chee Road,"1.3245243, 103.9230534"
Lorong Puntong (Country Esquire),"1.3599394, 103.8310284"
ugliston Park,The address probably not exists
Shunfu Road (Blk 310),"1.3509026, 103.8384743"
Choa Chu Kang North 5 (Blk 758),"1.3933223, 103.7461817"
hee Road lk 25),The address probably not exists
hee Road lk 63),The address probably not exists
Avenue 6 lk 403),"1.4269743, 103.8488897"
Bedok Reservoir View (Blk 763),"1.3362289, 103.9350188"
Holland Avenue (Blk 10),"1.3082166, 103.7942256"
Thomson Road keview),"1.3487043, 103.8348496"
Choa Chu Kang North 7 (Blk 618),"1.4003406, 103.7468832"
Yishun Avenue 9 (Blk 318A),"1.4341054, 103.8436132"
Yishun Street 81 (Blk 850),"1.4163460, 103.8359600"
Boon Lay Drive (Summerdale),"1.3428530, 103.7118510"
oo Chow Rise,"1.3534350, 103.8308094"
Yunnan Walk 2,"1.3393894, 103.6907972"
Kallang Bahru (Blk 63),"1.3210258, 103.8683218"
Hougang Avenue 6 (Blk 525),"1.3748506, 103.8913358"
Bedok Reservoir Road (Blk 145),"1.3343129, 103.9119974"
Teck Whye Lane (Blk 109),"1.3786778, 103.7521333"
Lorong 1 Toa Payoh (Blk 110),"1.3414985, 103.8463986"
Tampines Street 21 (Blk 230H),"1.3563230, 103.9499350"
Pasir Ris Street 13 (Blk 151),"1.3629861, 103.9624637"
hoa Chu Kang Avenue 2 (Blk 297C),"1.3777775, 103.7431720"
ommonwealth Crescent (Blk 98),"1.3069161, 103.8014763"
Bishan Street 13 (Blk 189),"1.3502539, 103.8517432"
Bedok Reservoir Road (Blk 129),"1.3340360, 103.9122180"
Petir Road (Blk 205),"1.3733640, 103.7738827"
Lorong 27A Geylang,"1.3149892, 103.8848435"
Woodlands Drive 50 (Blk 899A),"1.4357805, 103.7950471"
son Ridge,The address probably not exists
hoa Chu Kang Avenue 3 (Blk 290),"1.3788752, 103.7403887"
Lorong 110 Changi,"1.3177639, 103.9098264"
orong Ong Lye,"1.3479061, 103.8790427"
Lorong 6 Geylang,"1.3103297, 103.8766646"
Lorong Tanggam,"1.3973320, 103.8739557"
Jalan Mariam,"1.3622256, 103.9694691"
Anchorvale Link (Blk 305C),"1.3890790, 103.8880020"
Jurong West Street 52 (Blk 516),"1.3454440, 103.7201709"
Bishan Street 24 (Blk 289),"1.3566652, 103.8448587"
Pasir Ris Street 21,"1.3682576, 103.9621864"
Chai Chee Road (Blk 803),"1.3241751, 103.9227090"
Aljunied Avenue 2 (Blk 119),"1.3200279, 103.8868022"
Macpherson Road,"1.3312078, 103.8789855"
Hougang Street 11 (Blk 156),"1.3527286, 103.8794659"
Tampines Street 81 (Blk 814),"1.3472705, 103.9366504"
Yishun Ring Road (Blk 354),"1.4257863, 103.8452210"
Old Choa Chu Kang Road,"1.3717846, 103.7053218"
Choa Chu Kang Avenue 5 (Blk 476B),"1.3770204, 103.7377197"
Bedok eservoir Road (Blk 619),"1.3335272, 103.9176316"
Hougang Street 61 (Blk 693),"1.3767785, 103.8874395"
engkong Tiga (Blk 111),"1.3241496, 103.9111766"
Eunos Crescent (Blk 15),"1.3238987, 103.9033880"
Woodlands Avenue 6 (Blk 759),"1.4464231, 103.7952282"
nds Drive 62 k 694A),"1.4394069, 103.8052876"
orth Avenue 2 lk 515),"1.3320873, 103.9299429"
Lorong 1 Toa Payoh (Blk 105),"1.3404101, 103.8490957"
Holland Avenue (Blk 8),"1.3068820, 103.7945038"
alan Hari Raya,The address probably not exists
26 Geylang,"1.3121097, 103.8848676"
Choa Chu ang Avenue 3 (Blk 470),"1.3782530, 103.7371077"
Woodlands Crescent (Blk 780A),"1.4483150, 103.8009103"
mard Road ard Suites),"1.2997180, 103.8605630"
Jalan Mutiara (Latitude),"1.2957068, 103.8284472"
orong Ah Soo (Blk 132),"1.3509307, 103.8864427"
Bedok eservoir Road (Blk 627),"1.3340729, 103.9155319"
Sunbird Circle,"1.3391852, 103.9576992"
Sembawang Close (Blk 339B),"1.4479549, 103.8175280"
Choa Chu Kang North 6 (Blk 559),"1.3959510, 103.7446390"
Ang Mo Kio Avenue 9 (Blk 627),"1.3818885, 103.8413260"
Tampines Street 43 (Blk 496B),"1.3615524, 103.9510862"
Punggol Drive (Blk 677C),"1.4057491, 103.9098490"
Hougang Avenue 1 (Blk 103),"1.3553733, 103.8905203"
Yishun Street 11 (Blk 148),"1.4319671, 103.8323845"
Jurong East Street 21 (Blk 239),"1.3409328, 103.7409092"
ds Avenue 6 lk 793),"1.4422630, 103.8027770"
pole Drive,"1.2782636, 103.8481705"
alhousie Lane,"1.3049241, 103.8522072"
Pandan Gardens (Blk 412),"1.3196630, 103.7470642"
Elias Road (Blk 610),"1.3753370, 103.9419758"
Hindoo Road,"1.3079731, 103.8547067"
Boon Lay Drive (Blk 196A),"1.3440768, 103.7136164"
Yishun Street 72 (Blk 749),"1.4284343, 103.8337157"
Kim Keat Avenue (Blk 195),"1.3305218, 103.8588934"
Jurong West Street 52 (Blk 522),"1.3464988, 103.7167470"
Ang Mo Kio Avenue 10 (Blk 438),"1.3670139, 103.8538267"
